strip,hrsPin,iEta,vfatId,vfatCh
162,141,8,8,122
161,145,8,8,124
160,147,8,8,126
223,7,8,8,0
222,9,8,8,2
221,13,8,8,4
220,15,8,8,6
219,17,8,8,8
218,19,8,8,10
217,21,8,8,12
216,23,8,8,14
215,25,8,8,16
214,27,8,8,18
213,29,8,8,20
212,31,8,8,22
211,35,8,8,24
210,37,8,8,26
209,39,8,8,28
208,41,8,8,30
207,43,8,8,32
206,45,8,8,34
205,47,8,8,36
204,49,8,8,38
203,51,8,8,40
202,53,8,8,42
201,57,8,8,44
200,59,8,8,46
199,61,8,8,48
198,63,8,8,50
197,65,8,8,52
196,67,8,8,54
195,69,8,8,56
194,71,8,8,58
193,73,8,8,60
192,75,8,8,62
191,79,8,8,64
190,81,8,8,66
189,83,8,8,68
188,85,8,8,70
187,87,8,8,72
186,89,8,8,74
185,91,8,8,76
184,93,8,8,78
183,95,8,8,80
182,97,8,8,82
181,101,8,8,84
180,103,8,8,86
179,105,8,8,88
178,107,8,8,90
177,109,8,8,92
176,111,8,8,94
175,113,8,8,96
174,115,8,8,98
173,117,8,8,100
172,119,8,8,102
171,123,8,8,104
170,125,8,8,106
169,127,8,8,108
168,129,8,8,110
167,131,8,8,112
166,133,8,8,114
165,135,8,8,116
164,137,8,8,118
163,139,8,8,120
162,141,8,8,122
161,145,8,8,124
160,147,8,8,126
224,8,8,8,1
225,10,8,8,3
226,14,8,8,5
227,16,8,8,7
228,18,8,8,9
229,20,8,8,11
230,22,8,8,13
231,24,8,8,15
232,26,8,8,17
233,28,8,8,19
234,30,8,8,21
235,32,8,8,23
236,36,8,8,25
237,38,8,8,27
238,40,8,8,29
239,42,8,8,31
240,44,8,8,33
241,46,8,8,35
242,48,8,8,37
243,50,8,8,39
244,52,8,8,41
245,54,8,8,43
246,58,8,8,45
247,60,8,8,47
248,62,8,8,49
249,64,8,8,51
250,66,8,8,53
251,68,8,8,55
252,70,8,8,57
253,72,8,8,59
254,74,8,8,61
255,76,8,8,63
128,80,8,8,65
129,82,8,8,67
130,84,8,8,69
131,86,8,8,71
132,88,8,8,73
133,90,8,8,75
134,92,8,8,77
135,94,8,8,79
136,96,8,8,81
137,98,8,8,83
138,102,8,8,85
139,104,8,8,87
140,106,8,8,89
141,108,8,8,91
142,110,8,8,93
143,112,8,8,95
144,114,8,8,97
145,116,8,8,99
146,118,8,8,101
147,120,8,8,103
148,124,8,8,105
149,126,8,8,107
150,128,8,8,109
151,130,8,8,111
152,132,8,8,113
153,134,8,8,115
154,136,8,8,117
155,138,8,8,119
156,140,8,8,121
157,142,8,8,123
158,146,8,8,125
159,148,8,8,127
224,8,8,8,1
225,10,8,8,3
226,14,8,8,5
227,16,8,8,7
228,18,8,8,9
229,20,8,8,11
230,22,8,8,13
231,24,8,8,15
232,26,8,8,17
233,28,8,8,19
234,30,8,8,21
235,32,8,8,23
236,36,8,8,25
237,38,8,8,27
238,40,8,8,29
239,42,8,8,31
240,44,8,8,33
241,46,8,8,35
242,48,8,8,37
243,50,8,8,39
244,52,8,8,41
245,54,8,8,43
246,58,8,8,45
247,60,8,8,47
248,62,8,8,49
249,64,8,8,51
250,66,8,8,53
251,68,8,8,55
252,70,8,8,57
253,72,8,8,59
254,74,8,8,61
255,76,8,8,63
128,80,8,8,65
129,82,8,8,67
130,84,8,8,69
131,86,8,8,71
132,88,8,8,73
133,90,8,8,75
134,92,8,8,77
135,94,8,8,79
136,96,8,8,81
137,98,8,8,83
138,102,8,8,85
139,104,8,8,87
140,106,8,8,89
141,108,8,8,91
142,110,8,8,93
143,112,8,8,95
144,114,8,8,97
145,116,8,8,99
146,118,8,8,101
147,120,8,8,103
