oh;vfat;chamber;direction;sector
2;9;1;X;1
2;11;1;X;2
2;10;1;X;3
2;8;1;Y;1
2;6;1;Y;2
2;4;1;Y;3
2;2;2;X;1
2;0;2;X;2
2;1;2;X;3
2;3;2;Y;1
2;5;2;Y;2
2;7;2;Y;3
3;9;3;X;1
3;11;3;X;2
3;10;3;X;3
3;8;3;Y;1
3;6;3;Y;2
3;4;3;Y;3
3;2;4;X;1
3;0;4;X;2
3;1;4;X;3
3;3;4;Y;1
3;5;4;Y;2
3;7;4;Y;3
