name;hv
run_20211113_1005;720
run_20211113_1023;710
run_20211113_1043;700
run_20211113_1101;690
run_20211113_1118;680
run_20211113_1136;670
run_20211113_1159;660
run_20211113_1218;650
run_20211113_1235;640
run_20211113_1252;630
