strip;pos;panPin;channel
310;X3;96;69
311;X3;98;61
312;X3;100;53
313;X3;102;45
314;X3;104;37
315;X3;106;48
316;X3;108;56
317;X3;110;64
318;X3;112;58
319;X3;114;50
320;X3;116;42
321;X3;118;34
322;X3;120;26
323;X3;122;18
324;X3;124;10
325;X3;126;2
326;X3;128;8
327;X3;129;4
328;X3;127;12
329;X3;125;6
330;X3;123;14
331;X3;121;22
332;X3;119;30
333;X3;117;38
334;X3;115;46
335;X3;113;54
336;X3;111;62
337;X3;109;60
338;X3;107;52
339;X3;105;44
340;X3;103;41
341;X3;101;49
342;X3;99;57
343;X3;97;65
344;X3;95;73
345;X3;93;81
346;X3;91;89
347;X3;89;88
348;X3;87;80
349;X3;85;72
350;X3;83;66
351;X3;81;74
352;X3;79;82
353;X3;77;90
354;X3;75;98
355;X3;73;106
356;X3;71;114
357;X3;69;122
358;X3;67;120
