oh;vfat;chamber;position
2;9;1;X1
2;11;1;X2
2;10;1;X3
2;8;1;Y1
2;6;1;Y2
2;4;1;Y3
2;2;2;X1
2;0;2;X2
2;1;2;X3
2;3;2;Y1
2;5;2;Y2
2;7;2;Y3
3;9;3;X1
3;11;3;X2
3;10;3;X3
3;8;3;Y1
3;6;3;Y2
3;4;3;Y3
3;2;4;X1
3;0;4;X2
3;1;4;X3
3;3;4;Y1
3;5;4;Y2
3;7;4;Y3
